日期,平均值 Mean,標準差 Std,偏度 Skewness,峰度 Kurtosis
2022-04-01,45700.7651,13689.0432,0.4153,1.0251
2022-04-02,45349.7676,13580.4499,0.4960,1.2961
2022-04-03,45653.3387,13451.0400,0.3270,1.0329
2022-04-04,46188.7046,13375.7794,0.3919,0.9488
2022-04-05,45047.6333,13852.0113,0.3774,1.0419
2022-04-06,42081.9998,13660.1422,0.3044,0.6736
2022-04-07,43165.0351,13500.4851,0.4553,1.0624
2022-04-08,42018.3798,13248.8059,0.3959,1.1723
2022-04-09,42522.7066,12741.2249,0.4029,1.0131
2022-04-10,41757.2895,12476.0422,0.2853,0.9738
2022-04-11,39204.7006,11991.2972,0.3182,1.0292
2022-04-12,39864.4634,11414.5348,0.4651,1.0491
2022-04-13,40942.3744,11795.8713,0.3816,1.2150
2022-04-14,39811.4369,11426.3515,0.3673,1.4152
2022-04-15,40361.6425,10995.1319,0.3604,0.9484
2022-04-16,40054.4910,10711.6574,0.2482,0.7214
2022-04-17,39507.7303,11362.1934,0.3014,1.4425
2022-04-18,40754.7586,10808.2666,0.1826,1.1161
2022-04-19,41366.6571,10798.9386,0.1736,1.1406
2022-04-20,41479.8027,10504.5335,0.2139,1.2139
2022-04-21,40441.2299,11152.1149,0.1148,1.5923
2022-04-22,39647.1942,10230.6600,0.1352,1.3327
2022-04-23,39477.6100,10214.7239,0.1106,1.2760
2022-04-24,39420.1380,10035.3668,0.1775,1.3022
2022-04-25,40371.9222,10050.1828,0.3447,1.3035
2022-04-26,37777.9491,10153.3280,0.2565,1.5999
2022-04-27,39107.1142,9902.5777,0.2126,1.0929
2022-04-28,39568.0222,9735.2678,0.0596,1.3234
2022-04-29,38557.8654,9081.4186,0.1631,1.4331
2022-04-30,37693.5413,9295.9878,0.0265,1.7716
2022-05-01,38323.9703,8767.8211,0.2459,1.2944
2022-05-02,38448.5587,8936.2216,0.1023,1.2443
2022-05-03,37696.9518,8873.0767,0.0818,1.4910
2022-05-04,39609.1034,8726.3145,0.1235,1.3350
2022-05-05,36466.9954,8046.6130,0.2838,1.3267
2022-05-06,35950.7501,8027.3017,0.0989,1.1748
2022-05-07,35547.2354,7853.9165,0.2137,1.0845
2022-05-08,33954.3641,7958.5136,0.0436,1.6718
2022-05-09,30097.8213,8612.3723,0.1273,1.3154
2022-05-10,30841.1319,7966.9058,0.1778,1.4901
2022-05-11,28764.5482,8533.5065,0.0297,1.0415
2022-05-12,28727.6802,9017.7286,0.0811,1.0296
2022-05-13,29139.4896,8075.5440,0.0530,1.3509
2022-05-14,29902.5659,7404.1790,-0.1372,1.4183
2022-05-15,31150.9026,7658.4775,-0.0453,1.2756
2022-05-16,29773.1471,7908.7615,-0.1143,1.1713
2022-05-17,30382.5836,7454.8950,-0.2279,1.2322
2022-05-18,28640.2849,7600.8777,-0.0706,1.3964
2022-05-19,30202.5919,7074.8864,-0.2910,1.2745
2022-05-20,29193.9556,7224.1118,-0.1271,1.2081
2022-05-21,29327.5046,6919.7574,-0.2636,1.3699
2022-05-22,30196.0896,6672.4322,-0.1352,1.4097
2022-05-23,29043.4374,6821.2269,-0.2494,1.7549
2022-05-24,29565.3506,6282.0191,-0.0292,1.1886
2022-05-25,29520.4762,6441.5664,-0.3720,1.8705
2022-05-26,29179.8061,6317.9945,-0.2165,1.7758
2022-05-27,28587.3734,6177.8344,-0.3169,1.7996
2022-05-28,28976.4007,5731.5954,-0.3111,1.4548
2022-05-29,29399.5674,5615.3565,-0.4182,1.9202
2022-05-30,31686.1435,5879.7070,-0.0968,1.3856
2022-05-31,31810.2360,5651.5312,-0.2340,1.7920
2022-06-01,29824.4945,5316.6992,-0.1288,1.2030
2022-06-02,30419.5473,5000.2381,-0.2607,1.3052
2022-06-03,29646.6101,4769.1685,-0.4782,2.0189
2022-06-04,29807.6321,4475.6646,-0.3400,1.7592
2022-06-05,29901.6643,4622.8221,-0.5301,2.6030
2022-06-06,31336.4164,4522.8740,-0.5075,2.5842
2022-06-07,31147.9330,4507.0141,-0.1810,1.3862
2022-06-08,30306.3242,4369.8806,-0.1827,1.4385
2022-06-09,30068.6287,4259.4813,-0.3497,1.8891
2022-06-10,29059.2266,4007.6542,-0.2532,1.4534
2022-06-11,28367.1327,4014.2061,-0.6399,2.3693
2022-06-12,26637.7740,5057.3597,-1.2348,3.3257
2022-06-13,22377.1633,4524.2622,0.3533,1.2450
2022-06-14,22045.9011,4040.3981,-0.1332,0.8934
2022-06-15,22374.6984,3155.9180,0.0257,0.6381
